City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nova sintra,14.8667,-24.7167,24.95,75,76,1.49,CV,1692741330
84,isafjordur,66.0755,-23.124,10.29,78,64,2.12,IS,1692741330
85,severo-yeniseyskiy,60.3725,93.0408,10.75,89,100,1.95,RU,1692741331
86,sol'-iletsk,51.1631,54.9918,18.7,81,12,4.5,RU,1692741332
87,lihue,21.9789,-159.3672,30.77,69,75,6.17,US,1692741332
88,bourg-saint-maurice,45.6172,6.769,23.94,72,3,1.17,FR,1692741333
89,ghat,24.9647,10.1728,35.04,15,91,5.62,LY,1692741333
90,zyryanskoye,56.8306,86.6258,11.77,87,50,2.61,RU,1692741334
91,college,64.8569,-147.8028,16.71,74,100,3.09,US,1692741056
92,cabo san lucas,22.8909,-109.9124,34.23,70,69,2.56,MX,1692741145
93,i-n-salah,27.1935,2.4607,33.49,26,41,4.83,DZ,1692741336
94,whitehorse,60.7161,-135.0538,22.28,48,20,2.57,CA,1692741337
95,armacao de buzios,-22.7469,-41.8817,22.09,92,0,3.88,BR,1692741338
96,taksimo,56.3444,114.8794,12.2,73,25,1.52,RU,1692741339
97,uzgen,40.7699,73.3007,20.16,28,7,3.12,KG,1692741339
98,pemba,-12.974,40.5178,24.39,83,20,3.6,MZ,1692741340
99,mount isa,-20.7333,139.5,15.87,31,0,4.63,AU,1692741341
100,tubarjal,30.4999,38.216,34.7,17,11,3.46,SA,1692741341
101,maragogi,-9.0122,-35.2225,24.17,83,37,3.61,BR,1692741342
102,punta arenas,-53.15,-70.9167,1.68,71,83,6.57,CL,1692741149
103,quatre cocos,-20.2078,57.7625,22.83,83,62,7.12,MU,1692741343
104,verdal,63.7933,11.4817,12.02,93,35,0.34,NO,1692741344
105,bagli,22.65,76.35,22.24,93,100,3.08,IN,1692741345
106,bida,9.0833,6.0167,26.55,80,99,1.69,NG,1692741346
107,cole harbour,44.6724,-63.4751,22.71,56,30,3.58,CA,1692741347
108,guerrero negro,27.9769,-114.0611,24.19,64,7,7.26,MX,1692741348
109,talnakh,69.4865,88.3972,11.23,93,81,2.54,RU,1692741349
110,turaif,31.6725,38.6637,31.14,10,20,4.12,SA,1692741349
111,galliano,29.4422,-90.2992,35.0,51,54,6.14,US,1692741350
112,san antonio de pale,-1.4014,5.6325,23.21,89,15,5.87,GQ,1692741351
113,san patricio,28.017,-97.5169,29.94,82,100,9.34,US,1692741351
114,trairi,-3.2778,-39.2689,25.28,78,25,5.04,BR,1692741352
115,yellowknife,62.456,-114.3525,20.23,69,75,2.24,CA,1692741352
116,xixiang,35.1628,112.865,23.72,88,33,1.49,CN,1692741354
117,lebu,-37.6167,-73.65,9.64,83,38,3.94,CL,1692741354
118,inhambane,-23.865,35.3833,21.62,89,0,6.79,MZ,1692741355
119,pangoa,-12.1167,-73.0,29.48,50,93,1.33,PE,1692741356
120,twon-brass,4.3151,6.2418,25.59,88,100,4.51,NG,1692741358
121,pikine,14.75,-17.4,28.05,78,20,4.12,SN,1692741359
122,matoury,4.8483,-52.3317,28.98,74,0,4.63,GF,1692741359
123,la sarre,48.8002,-79.1996,19.38,59,100,1.66,CA,1692741229
124,el galpon,-25.3807,-64.6526,30.9,15,99,2.52,AR,1692741361
125,gubkin,51.2817,37.5458,15.47,90,35,3.1,RU,1692741362
126,vila franca do campo,37.7167,-25.4333,21.23,70,73,3.34,PT,1692741362
127,gilgit,35.9221,74.3087,27.85,55,1,1.84,PK,1692741363
128,wailua homesteads,22.0669,-159.378,30.44,76,75,6.17,US,1692741364
129,ingeniero jacobacci,-41.3427,-69.5448,3.29,60,11,8.76,AR,1692741314
130,kuanda,56.3161,116.0806,12.38,79,44,0.82,RU,1692741365
131,saipan,15.1355,145.701,28.69,100,40,2.06,MP,1692741366
132,terrace,54.5163,-128.6035,24.95,41,20,0.0,CA,1692741366
133,stettler,52.3168,-112.7186,17.86,82,91,2.06,CA,1692741367
134,jinghong,21.991,100.7341,21.91,98,98,0.34,CN,1692741367
135,ambon,-3.6954,128.1814,25.49,95,94,5.84,ID,1692741368
136,lavaur,43.6985,1.8186,31.03,52,100,0.93,FR,1692741369
137,el alto,-4.2714,-81.2147,25.81,78,83,6.7,PE,1692741370
138,siwa oasis,29.2041,25.5195,30.9,36,0,4.83,EG,1692741371
139,sainyabuli,19.25,101.75,22.47,99,100,0.74,LA,1692741371
140,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,100,75,2.0,RU,1692741372
141,san matias,-16.3667,-58.4,34.38,19,10,2.77,BO,1692741373
142,constitucion,-35.3333,-72.4167,11.36,90,100,3.3,CL,1692741374
143,nyirbator,47.8333,22.1333,24.72,55,2,2.4,HU,1692741374
144,ciudad guadalupe victoria,24.4497,-104.1225,22.66,43,93,8.05,MX,1692741375
145,mongoumba,3.6415,18.5936,23.95,83,40,0.54,CF,1692741375
146,alice springs,-23.7,133.8833,12.9,53,0,25.48,AU,1692741293
147,kanniyakumari,8.0833,77.5667,26.92,81,65,7.23,IN,1692741377
148,sao vicente,-23.9631,-46.3919,33.1,78,0,1.03,BR,1692741377
149,bredasdorp,-34.5322,20.0403,11.39,84,100,9.0,ZA,1692741378
150,nurota,40.5614,65.6886,25.7,29,0,2.58,UZ,1692741380
151,lionel town,17.8101,-77.2406,30.94,53,43,0.69,JM,1692741383
152,kingston,17.997,-76.7936,32.36,70,20,3.09,JM,1692741182
153,queenstown,-31.8976,26.8753,12.46,31,7,5.41,ZA,1692741386
154,marine corps base hawaii - mcbh,21.4453,-157.7513,31.98,62,20,5.14,US,1692741386
155,turtas,58.9417,69.1325,7.26,80,86,2.18,RU,1692741388
156,saudarkrokur,65.7461,-19.6394,7.44,94,91,1.2,IS,1692741388
157,carlisle,40.2015,-77.1889,27.23,44,98,1.34,US,1692741389
158,klyuchi,52.2667,79.1667,18.79,68,52,2.53,RU,1692741390
159,nemuro,43.3236,145.575,20.08,99,100,5.01,JP,1692741390
160,port macquarie,-31.4333,152.9167,18.09,51,4,2.89,AU,1692741393
161,coquimbo,-29.9533,-71.3436,16.54,67,0,0.83,CL,1692741393
162,luderitz,-26.6481,15.1594,13.39,81,1,4.54,NA,1692741394
163,holly springs,35.6513,-78.8336,34.38,55,99,0.89,US,1692741395
164,aldan,58.6031,125.3894,9.89,81,62,0.96,RU,1692741396
165,fort leonard wood,37.7057,-92.1572,36.25,58,20,1.54,US,1692741397
166,yangquan,37.8575,113.5633,19.21,81,74,1.13,CN,1692741397
167,pandan,14.0453,124.1694,27.02,80,99,2.27,PH,1692741398
168,petrov val,50.1434,45.2096,16.88,61,54,2.83,RU,1692741399
169,kiunga,-6.1219,141.2906,22.71,97,99,1.44,PG,1692741399
170,cobija,-11.0267,-68.7692,36.1,44,20,2.57,BO,1692741400
171,ketchikan,55.3422,-131.6461,20.26,64,0,1.54,US,1692741400
172,castillos,-34.1667,-53.8333,10.62,91,100,3.22,UY,1692741401
173,kotlas,61.2611,46.6556,4.4,97,7,2.03,RU,1692741401
174,ancud,-41.8697,-73.8203,7.27,76,100,6.0,CL,1692741402
175,jaciara,-15.9653,-54.9683,31.66,23,11,1.68,BR,1692741403
176,egilsstadir,65.2653,-14.3948,8.95,93,100,3.6,IS,1692741404
177,carai,-17.1889,-41.6947,23.14,56,43,1.73,BR,1692741404
178,marsh harbour,26.5412,-77.0636,28.97,72,4,6.63,BS,1692741405
179,alofi,-19.0595,-169.9187,21.94,94,75,6.17,NU,1692741406
180,westport,41.1415,-73.3579,26.9,46,0,7.72,US,1692741314
181,tyukalinsk,55.8732,72.1967,11.85,63,99,0.25,RU,1692741408
182,conception bay south,47.4999,-52.9981,17.63,96,100,2.68,CA,1692741409
183,olinda,-8.0089,-34.8553,26.85,74,20,3.09,BR,1692741185
184,timimoun,29.2639,0.231,36.21,14,0,3.6,DZ,1692741411
185,juneau,58.3019,-134.4197,19.0,83,0,4.12,US,1692741412
186,enewetak,11.3474,162.3373,29.13,75,63,7.09,MH,1692741413
187,kapuskasing,49.4169,-82.4331,23.05,56,100,4.12,CA,1692741414
188,aasiaat,68.7098,-52.8699,5.71,77,32,3.62,GL,1692741415
